&& imag part epsilon2(omega) tensor, xx, yy,zz xy, xz, yz
0.000000    1.075011e-03 1.075011e-03 1.075011e-03   3.470356e-24 3.690862e-24 -1.319985e-24
0.010000    1.079398e-03 1.079398e-03 1.079398e-03   3.490897e-24 3.713465e-24 -1.320561e-24
0.020000    1.083843e-03 1.083843e-03 1.083843e-03   3.511600e-24 3.736254e-24 -1.321119e-24
0.030000    1.088346e-03 1.088346e-03 1.088346e-03   3.532465e-24 3.759231e-24 -1.321659e-24
0.040000    1.092910e-03 1.092910e-03 1.092910e-03   3.553495e-24 3.782398e-24 -1.322179e-24
0.050000    1.097537e-03 1.097537e-03 1.097537e-03   3.574691e-24 3.805758e-24 -1.322680e-24
0.060000    1.102228e-03 1.102228e-03 1.102228e-03   3.596054e-24 3.829312e-24 -1.323161e-24
0.070000    1.106988e-03 1.106988e-03 1.106988e-03   3.617586e-24 3.853061e-24 -1.323623e-24
0.080000    1.111817e-03 1.111817e-03 1.111817e-03   3.639289e-24 3.877010e-24 -1.324065e-24
0.090000    1.116718e-03 1.116718e-03 1.116718e-03   3.661165e-24 3.901158e-24 -1.324486e-24
0.100000    1.121695e-03 1.121695e-03 1.121695e-03   3.683214e-24 3.925509e-24 -1.324887e-24
0.110000    1.126749e-03 1.126749e-03 1.126749e-03   3.705440e-24 3.950064e-24 -1.325268e-24
0.120000    1.131885e-03 1.131885e-03 1.131885e-03   3.727842e-24 3.974826e-24 -1.325627e-24
0.130000    1.137106e-03 1.137106e-03 1.137106e-03   3.750424e-24 3.999797e-24 -1.325965e-24
0.140000    1.142414e-03 1.142414e-03 1.142414e-03   3.773187e-24 4.024979e-24 -1.326282e-24
0.150000    1.147814e-03 1.147814e-03 1.147814e-03   3.796133e-24 4.050375e-24 -1.326577e-24
0.160000    1.153310e-03 1.153310e-03 1.153310e-03   3.819263e-24 4.075986e-24 -1.326850e-24
0.170000    1.158906e-03 1.158906e-03 1.158906e-03   3.842579e-24 4.101814e-24 -1.327101e-24
0.180000    1.164606e-03 1.164606e-03 1.164606e-03   3.866083e-24 4.127863e-24 -1.327329e-24
0.190000    1.170415e-03 1.170415e-03 1.170415e-03   3.889777e-24 4.154135e-24 -1.327535e-24
0.200000    1.176339e-03 1.176339e-03 1.176339e-03   3.913662e-24 4.180631e-24 -1.327718e-24
0.210000    1.182383e-03 1.182383e-03 1.182383e-03   3.937741e-24 4.207355e-24 -1.327878e-24
0.220000    1.188553e-03 1.188553e-03 1.188553e-03   3.962015e-24 4.234308e-24 -1.328015e-24
0.230000    1.194855e-03 1.194855e-03 1.194855e-03   3.986487e-24 4.261494e-24 -1.328128e-24
0.240000    1.201296e-03 1.201296e-03 1.201296e-03   4.011157e-24 4.288914e-24 -1.328217e-24
0.250000    1.207884e-03 1.207884e-03 1.207884e-03   4.036029e-24 4.316571e-24 -1.328283e-24
0.260000    1.214626e-03 1.214626e-03 1.214626e-03   4.061103e-24 4.344468e-24 -1.328324e-24
0.270000    1.221532e-03 1.221532e-03 1.221532e-03   4.086381e-24 4.372607e-24 -1.328340e-24
0.280000    1.228610e-03 1.228610e-03 1.228610e-03   4.111867e-24 4.400990e-24 -1.328332e-24
0.290000    1.235870e-03 1.235870e-03 1.235870e-03   4.137561e-24 4.429621e-24 -1.328300e-24
0.300000    1.243324e-03 1.243324e-03 1.243324e-03   4.163465e-24 4.458502e-24 -1.328242e-24
0.310000    1.250984e-03 1.250984e-03 1.250984e-03   4.189582e-24 4.487635e-24 -1.328159e-24
0.320000    1.258862e-03 1.258862e-03 1.258862e-03   4.215913e-24 4.517023e-24 -1.328050e-24
0.330000    1.266973e-03 1.266973e-03 1.266973e-03   4.242461e-24 4.546669e-24 -1.327916e-24
0.340000    1.275331e-03 1.275331e-03 1.275331e-03   4.269226e-24 4.576576e-24 -1.327757e-24
0.350000    1.283955e-03 1.283955e-03 1.283955e-03   4.296212e-24 4.606745e-24 -1.327571e-24
0.360000    1.292862e-03 1.292862e-03 1.292862e-03   4.323420e-24 4.637181e-24 -1.327359e-24
0.370000    1.302073e-03 1.302073e-03 1.302073e-03   4.350851e-24 4.667885e-24 -1.327121e-24
0.380000    1.311611e-03 1.311611e-03 1.311611e-03   4.378509e-24 4.698861e-24 -1.326857e-24
0.390000    1.321499e-03 1.321499e-03 1.321499e-03   4.406394e-24 4.730111e-24 -1.326566e-24
0.400000    1.331767e-03 1.331767e-03 1.331767e-03   4.434509e-24 4.761638e-24 -1.326248e-24
0.410000    1.342443e-03 1.342443e-03 1.342443e-03   4.462855e-24 4.793445e-24 -1.325904e-24
0.420000    1.353562e-03 1.353562e-03 1.353562e-03   4.491434e-24 4.825534e-24 -1.325533e-24
0.430000    1.365161e-03 1.365161e-03 1.365161e-03   4.520249e-24 4.857908e-24 -1.325135e-24
0.440000    1.377282e-03 1.377282e-03 1.377282e-03   4.549300e-24 4.890570e-24 -1.324709e-24
0.450000    1.389973e-03 1.389973e-03 1.389973e-03   4.578589e-24 4.923523e-24 -1.324257e-24
0.460000    1.403286e-03 1.403286e-03 1.403286e-03   4.608118e-24 4.956770e-24 -1.323778e-24
0.470000    1.417279e-03 1.417279e-03 1.417279e-03   4.637889e-24 4.990312e-24 -1.323271e-24
0.480000    1.432019e-03 1.432019e-03 1.432019e-03   4.667903e-24 5.024154e-24 -1.322736e-24
0.490000    1.447583e-03 1.447583e-03 1.447583e-03   4.698160e-24 5.058297e-24 -1.322174e-24
0.500000    1.464054e-03 1.464054e-03 1.464054e-03   4.728663e-24 5.092744e-24 -1.321584e-24
