&& imag part epsilon2(omega) tensor, xx, yy,zz xy, xz, yz
0.000000    3.790587e-03 3.790587e-03 9.468693e-04   -2.315498e-20 -2.198084e-26 -1.998618e-26
0.010000    3.802354e-03 3.802354e-03 9.484031e-04   -2.325560e-20 -2.200317e-26 -2.000495e-26
0.020000    3.814181e-03 3.814181e-03 9.499408e-04   -2.335683e-20 -2.202554e-26 -2.002375e-26
0.030000    3.826068e-03 3.826068e-03 9.514825e-04   -2.345868e-20 -2.204794e-26 -2.004258e-26
0.040000    3.838016e-03 3.838016e-03 9.530281e-04   -2.356115e-20 -2.207038e-26 -2.006143e-26
0.050000    3.850025e-03 3.850025e-03 9.545777e-04   -2.366424e-20 -2.209286e-26 -2.008031e-26
0.060000    3.862096e-03 3.862096e-03 9.561313e-04   -2.376796e-20 -2.211538e-26 -2.009921e-26
0.070000    3.874229e-03 3.874229e-03 9.576888e-04   -2.387232e-20 -2.213793e-26 -2.011814e-26
0.080000    3.886425e-03 3.886425e-03 9.592504e-04   -2.397731e-20 -2.216052e-26 -2.013710e-26
0.090000    3.898684e-03 3.898684e-03 9.608160e-04   -2.408295e-20 -2.218315e-26 -2.015608e-26
0.100000    3.911006e-03 3.911006e-03 9.623856e-04   -2.418923e-20 -2.220581e-26 -2.017508e-26
0.110000    3.923392e-03 3.923392e-03 9.639593e-04   -2.429618e-20 -2.222852e-26 -2.019412e-26
0.120000    3.935843e-03 3.935843e-03 9.655370e-04   -2.440378e-20 -2.225126e-26 -2.021318e-26
0.130000    3.948358e-03 3.948358e-03 9.671188e-04   -2.451204e-20 -2.227404e-26 -2.023226e-26
0.140000    3.960939e-03 3.960939e-03 9.687047e-04   -2.462098e-20 -2.229685e-26 -2.025137e-26
0.150000    3.973586e-03 3.973586e-03 9.702947e-04   -2.473059e-20 -2.231971e-26 -2.027051e-26
0.160000    3.986299e-03 3.986299e-03 9.718889e-04   -2.484089e-20 -2.234260e-26 -2.028967e-26
0.170000    3.999079e-03 3.999079e-03 9.734872e-04   -2.495187e-20 -2.236553e-26 -2.030886e-26
0.180000    4.011926e-03 4.011926e-03 9.750896e-04   -2.506354e-20 -2.238850e-26 -2.032808e-26
0.190000    4.024841e-03 4.024841e-03 9.766962e-04   -2.517591e-20 -2.241151e-26 -2.034732e-26
0.200000    4.037825e-03 4.037825e-03 9.783070e-04   -2.528898e-20 -2.243456e-26 -2.036659e-26
0.210000    4.050877e-03 4.050877e-03 9.799220e-04   -2.540277e-20 -2.245764e-26 -2.038588e-26
0.220000    4.063998e-03 4.063998e-03 9.815412e-04   -2.551727e-20 -2.248077e-26 -2.040521e-26
0.230000    4.077189e-03 4.077189e-03 9.831646e-04   -2.563249e-20 -2.250393e-26 -2.042455e-26
0.240000    4.090451e-03 4.090451e-03 9.847922e-04   -2.574843e-20 -2.252713e-26 -2.044393e-26
0.250000    4.103783e-03 4.103783e-03 9.864242e-04   -2.586511e-20 -2.255037e-26 -2.046333e-26
0.260000    4.117187e-03 4.117187e-03 9.880604e-04   -2.598253e-20 -2.257365e-26 -2.048275e-26
0.270000    4.130663e-03 4.130663e-03 9.897009e-04   -2.610069e-20 -2.259697e-26 -2.050221e-26
0.280000    4.144211e-03 4.144211e-03 9.913456e-04   -2.621960e-20 -2.262033e-26 -2.052169e-26
0.290000    4.157833e-03 4.157833e-03 9.929948e-04   -2.633927e-20 -2.264373e-26 -2.054119e-26
0.300000    4.171527e-03 4.171527e-03 9.946482e-04   -2.645971e-20 -2.266717e-26 -2.056073e-26
0.310000    4.185296e-03 4.185296e-03 9.963060e-04   -2.658091e-20 -2.269064e-26 -2.058029e-26
0.320000    4.199140e-03 4.199140e-03 9.979682e-04   -2.670289e-20 -2.271416e-26 -2.059987e-26
0.330000    4.213059e-03 4.213059e-03 9.996347e-04   -2.682565e-20 -2.273772e-26 -2.061948e-26
0.340000    4.227054e-03 4.227054e-03 1.001306e-03   -2.694920e-20 -2.276131e-26 -2.063912e-26
0.350000    4.241125e-03 4.241125e-03 1.002981e-03   -2.707355e-20 -2.278495e-26 -2.065879e-26
0.360000    4.255273e-03 4.255273e-03 1.004661e-03   -2.719870e-20 -2.280863e-26 -2.067848e-26
0.370000    4.269498e-03 4.269498e-03 1.006345e-03   -2.732466e-20 -2.283234e-26 -2.069820e-26
0.380000    4.283802e-03 4.283802e-03 1.008034e-03   -2.745144e-20 -2.285610e-26 -2.071795e-26
0.390000    4.298185e-03 4.298185e-03 1.009727e-03   -2.757903e-20 -2.287989e-26 -2.073772e-26
0.400000    4.312647e-03 4.312647e-03 1.011425e-03   -2.770746e-20 -2.290373e-26 -2.075752e-26
0.410000    4.327188e-03 4.327188e-03 1.013127e-03   -2.783673e-20 -2.292761e-26 -2.077735e-26
0.420000    4.341811e-03 4.341811e-03 1.014834e-03   -2.796683e-20 -2.295153e-26 -2.079720e-26
0.430000    4.356515e-03 4.356515e-03 1.016545e-03   -2.809779e-20 -2.297549e-26 -2.081708e-26
0.440000    4.371300e-03 4.371300e-03 1.018261e-03   -2.822961e-20 -2.299949e-26 -2.083699e-26
0.450000    4.386168e-03 4.386168e-03 1.019981e-03   -2.836229e-20 -2.302353e-26 -2.085692e-26
0.460000    4.401119e-03 4.401119e-03 1.021706e-03   -2.849585e-20 -2.304761e-26 -2.087688e-26
0.470000    4.416154e-03 4.416154e-03 1.023436e-03   -2.863029e-20 -2.307173e-26 -2.089687e-26
0.480000    4.431274e-03 4.431274e-03 1.025170e-03   -2.876561e-20 -2.309589e-26 -2.091688e-26
