#                \hbar \omega(Ry)     Re(chi) (e^2*a_0^2/Ry) Im(chi) (e^2*a_0^2/Ry)
     chi_1_1=  0.000000000000000E+00  0.430050579899603E+02  -.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  0.128148426873560E-03  -.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  -.100047194748500E-03  0.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  0.128148482310103E-03  -.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.429905412695285E+02  -.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  0.553479850935555E-04  -.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  -.100396765984628E-03  0.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  0.554729544859289E-04  -.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.237922964382779E+02  -.000000000000000E+00
     chi_1_1=  0.100000000000000E-02  0.430051389844850E+02  0.162192350072934E-02
     chi_2_1=  0.100000000000000E-02  0.128149300585373E-03  0.175078547008568E-07
     chi_3_1=  0.100000000000000E-02  -.100048084576941E-03  -.178382414015506E-07
     chi_1_2=  0.100000000000000E-02  0.128149356020548E-03  0.175078268146905E-07
     chi_2_2=  0.100000000000000E-02  0.429906221967370E+02  0.162057481885697E-02
     chi_3_2=  0.100000000000000E-02  0.553483206355002E-04  0.672578248046221E-08
     chi_1_3=  0.100000000000000E-02  -.100397664196028E-03  -.180068088619060E-07
     chi_2_3=  0.100000000000000E-02  0.554732930257043E-04  0.678606307240201E-08
     chi_3_3=  0.100000000000000E-02  0.237923246875800E+02  0.565510571810246E-03
     chi_1_1=  0.200000000000000E-02  0.430053819710875E+02  0.324390779552202E-02
     chi_2_1=  0.200000000000000E-02  0.128151921770837E-03  0.350167145475790E-07
     chi_3_1=  0.200000000000000E-02  -.100050754124233E-03  -.356777286212406E-07
     chi_1_2=  0.200000000000000E-02  0.128151977201909E-03  0.350166587593594E-07
     chi_2_2=  0.200000000000000E-02  0.429908649813875E+02  0.324121036126543E-02
     chi_3_2=  0.200000000000000E-02  0.553493272835608E-04  0.134520117160969E-07
     chi_1_3=  0.200000000000000E-02  -.100400358893544E-03  -.360148906691236E-07
     chi_2_3=  0.200000000000000E-02  0.554743086677355E-04  0.135725825764718E-07
     chi_3_3=  0.200000000000000E-02  0.237924094362680E+02  0.113103683034606E-02
     chi_1_1=  0.300000000000000E-02  0.430057869588532E+02  0.486601368522016E-02
     chi_2_1=  0.300000000000000E-02  0.128156290580043E-03  0.525275848233846E-07
     chi_3_1=  0.300000000000000E-02  -.100055203576300E-03  -.535197076682844E-07
     chi_1_2=  0.300000000000000E-02  0.128156346004272E-03  0.525275011013289E-07
     chi_2_2=  0.300000000000000E-02  0.429912696325546E+02  0.486196735754651E-02
     chi_3_2=  0.300000000000000E-02  0.553510051044178E-04  0.201791345289050E-07
     chi_1_3=  0.300000000000000E-02  -.100404850267126E-03  -.540255185661266E-07
     chi_2_3=  0.300000000000000E-02  0.554760014801406E-04  0.203600150135751E-07
     chi_3_3=  0.300000000000000E-02  0.237925506866873E+02  0.169659446386348E-02
     chi_1_1=  0.400000000000000E-02  0.430063539629255E+02  0.648830198422487E-02
     chi_2_1=  0.400000000000000E-02  0.128162407263161E-03  0.700414710862312E-07
     chi_3_1=  0.400000000000000E-02  -.100061433243044E-03  -.713654249340976E-07
     chi_1_2=  0.400000000000000E-02  0.128162462677805E-03  0.700413593826439E-07
     chi_2_2=  0.400000000000000E-02  0.429918361653646E+02  0.648290655156226E-02
     chi_3_2=  0.400000000000000E-02  0.553533542092177E-04  0.269075978745622E-07
     chi_1_3=  0.400000000000000E-02  -.100411138633392E-03  -.720399660957682E-07
     chi_2_3=  0.400000000000000E-02  0.554783715764616E-04  0.271488170244927E-07
     chi_3_3=  0.400000000000000E-02  0.237927484427472E+02  0.226219916367981E-02
     chi_1_1=  0.500000000000000E-02  0.430070830045077E+02  0.811083352727949E-02
     chi_2_1=  0.500000000000000E-02  0.128170272170478E-03  0.875593793062739E-07
     chi_3_1=  0.500000000000000E-02  -.100069443558396E-03  -.892161273835278E-07
     chi_1_2=  0.500000000000000E-02  0.128170327572790E-03  0.875592395575194E-07
     chi_2_2=  0.500000000000000E-02  0.429925646009958E+02  0.810408870748956E-02
     chi_3_2=  0.500000000000000E-02  0.553563747535878E-04  0.336378489092996E-07
     chi_1_3=  0.500000000000000E-02  -.100419224435679E-03  -.900595073986092E-07
     chi_2_3=  0.500000000000000E-02  0.554814191156811E-04  0.339394454591748E-07
     chi_3_3=  0.500000000000000E-02  0.237930027099212E+02  0.282786662570509E-02
     chi_1_1=  0.600000000000000E-02  0.430079741108652E+02  0.973366917625737E-02
     chi_2_1=  0.600000000000000E-02  0.128179885752446E-03  0.105082316003428E-06
     chi_3_1=  0.600000000000000E-02  -.100079235080380E-03  -.107073062746240E-06
     chi_1_2=  0.600000000000000E-02  0.128179941139671E-03  0.105082148129897E-06
     chi_2_2=  0.600000000000000E-02  0.429934549666822E+02  0.972557461659906E-02
     chi_3_2=  0.600000000000000E-02  0.553600669376611E-04  0.403703350568389E-07
     chi_1_3=  0.600000000000000E-02  -.100429108244108E-03  -.108085417412415E-06
     chi_2_3=  0.600000000000000E-02  0.554851443022474E-04  0.407323574465534E-07
     chi_3_3=  0.600000000000000E-02  0.237933134952475E+02  0.339361255197459E-02
     chi_1_1=  0.700000000000000E-02  0.430090273153285E+02  0.113568698269555E-01
     chi_2_1=  0.700000000000000E-02  0.128191248559741E-03  0.122611288385070E-06
