#This is a STS 2D data file to be viewed 
16     0.000000     2.508261 
601    -6.000000     6.000000 
 5.33793e-06  9.3909e-06  1.52688e-05  2.29233e-05  3.17742e-05  4.06651e-05 
 4.80629e-05  5.24886e-05  5.3034e-05  4.97362e-05  4.36331e-05  3.64693e-05 
 3.01838e-05  2.63814e-05  2.59473e-05  2.88682e-05  3.42611e-05  4.05871e-05 
 4.60299e-05  4.89747e-05  4.8458e-05  4.44229e-05  3.76704e-05  2.95275e-05 
 2.13856e-05  1.43092e-05  8.84679e-06  5.06311e-06  2.70971e-06  1.42957e-06 
 9.16674e-07  1.00652e-06  1.70515e-06  3.17e-06  5.64454e-06  9.34245e-06 
 1.42922e-05  2.0188e-05  2.63246e-05  3.16877e-05  3.5211e-05  3.61179e-05 
 3.42003e-05  2.98967e-05  2.41315e-05  1.79992e-05  1.24454e-05  8.07831e-06 
 5.16055e-06  3.73586e-06  3.80066e-06  5.42899e-06  8.79432e-06  1.40766e-05 
 2.12874e-05  3.0087e-05  3.96919e-05  4.89526e-05  5.66173e-05  6.17021e-05 
 6.38127e-05  6.32619e-05  6.09099e-05  5.77908e-05  5.46961e-05  5.19074e-05 
 4.91885e-05  4.60128e-05  4.18927e-05  3.66457e-05  3.04895e-05  2.39544e-05 
 1.76835e-05  1.22255e-05  7.90357e-06  4.79079e-06  2.77328e-06  1.65266e-06 
 1.24118e-06  1.4181e-06  2.13738e-06  3.38988e-06  5.13827e-06  7.25009e-06 
 9.46347e-06  1.14132e-05  1.27215e-05  1.31237e-05  1.25745e-05  1.12814e-05 
 9.64777e-06  8.14608e-06  7.17265e-06  6.93447e-06  7.39953e-06  8.31877e-06 
 9.30978e-06  9.97724e-06  1.00339e-05  9.38128e-06  8.12104e-06  6.49778e-06 
 4.8018e-06  3.2764e-06  2.06388e-06  1.20019e-06  6.44281e-07  3.19285e-07 
 1.46076e-07  6.17141e-08  2.40978e-08  8.7241e-09  2.9607e-09  9.76865e-10 
 3.46556e-10  1.56185e-10  7.87203e-11  6.28555e-11  4.63294e-11  3.15229e-11 
 1.97994e-11  1.14798e-11  6.14432e-12  3.03577e-12  1.38459e-12  5.82947e-13 
 2.26565e-13  8.12858e-14  2.69211e-14  8.2305e-15  2.32283e-15  6.05151e-16 
 0  0  0  0  0  0 
