#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  0.211801189354968E+02  -.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  -.601714737870159E-06  0.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  -.117980662973468E-03  0.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  -.601714550946502E-06  0.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.211801064307830E+02  -.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  -.367847648156034E-05  0.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  -.117980631284135E-03  0.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  -.367847643057166E-05  0.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.211802406456884E+02  -.000000000000000E+00
     chi_1_1=  0.100000000000000E-01  0.211801554611558E+02  0.497340034040065E-03
     chi_2_1=  0.100000000000000E-01  -.601718273669473E-06  -.481901750296208E-10
     chi_3_1=  0.100000000000000E-01  -.117981524385532E-03  -.117405410877503E-07
     chi_1_2=  0.100000000000000E-01  -.601718086714401E-06  -.481897401380387E-10
     chi_2_2=  0.100000000000000E-01  0.211801429557215E+02  0.497330203743722E-03
     chi_3_2=  0.100000000000000E-01  -.367850070499760E-05  -.330061733390815E-09
     chi_1_3=  0.100000000000000E-01  -.117981492690837E-03  -.117404668241372E-07
     chi_2_3=  0.100000000000000E-01  -.367850065399910E-05  -.330061596423582E-09
     chi_3_3=  0.100000000000000E-01  0.211802771725272E+02  0.497356103509947E-03
     chi_1_1=  0.200000000000000E-01  0.211802650399424E+02  0.994704758549502E-03
     chi_2_1=  0.200000000000000E-01  -.601728881458979E-06  -.963857072878230E-10
     chi_3_1=  0.200000000000000E-01  -.117984108718105E-03  -.234823986492294E-07
     chi_1_2=  0.200000000000000E-01  -.601728694409643E-06  -.963848370224105E-10
     chi_2_2=  0.200000000000000E-01  0.211802525323467E+02  0.994685096141660E-03
     chi_3_2=  0.200000000000000E-01  -.367857337759626E-05  -.660154717303165E-09
     chi_1_3=  0.200000000000000E-01  -.117984077007314E-03  -.234822500390024E-07
     chi_2_3=  0.200000000000000E-01  -.367857332656812E-05  -.660154443194149E-09
     chi_3_3=  0.200000000000000E-01  0.211803867548535E+02  0.994736898582432E-03
     chi_1_1=  0.300000000000000E-01  0.211804476772872E+02  0.149211886818567E-02
     chi_2_1=  0.300000000000000E-01  -.601746562413515E-06  -.144591955914706E-09
     chi_3_1=  0.300000000000000E-01  -.117988416260353E-03  -.352268894896069E-07
     chi_1_2=  0.300000000000000E-01  -.601746375206950E-06  -.144590649309998E-09
     chi_2_2=  0.300000000000000E-01  0.211804351660885E+02  0.149208937003533E-02
     chi_3_2=  0.300000000000000E-01  -.367869450621735E-05  -.990310211060692E-09
     chi_1_3=  0.300000000000000E-01  -.117988384522718E-03  -.352266663665955E-07
     chi_2_3=  0.300000000000000E-01  -.367869445513985E-05  -.990309799460411E-09
     chi_3_3=  0.300000000000000E-01  0.211805693980977E+02  0.149216708096799E-02
     chi_1_1=  0.400000000000000E-01  0.211807033822410E+02  0.198960706598347E-02
     chi_2_1=  0.400000000000000E-01  -.601771318491603E-06  -.192814283874721E-09
     chi_3_1=  0.400000000000000E-01  -.117994447494301E-03  -.469753310770746E-07
     chi_1_2=  0.400000000000000E-01  -.601771131064682E-06  -.192812539480087E-09
     chi_2_2=  0.400000000000000E-01  0.211806908659973E+02  0.198956772664243E-02
     chi_3_2=  0.400000000000000E-01  -.367886410229827E-05  -.132055949159635E-08
     chi_1_3=  0.400000000000000E-01  -.117994415719041E-03  -.469750331916019E-07
     chi_2_3=  0.400000000000000E-01  -.367886405115151E-05  -.132055894197955E-08
     chi_3_3=  0.400000000000000E-01  0.211808251113115E+02  0.198967135479464E-02
     chi_1_1=  0.500000000000000E-01  0.211810321674778E+02  0.248719406754801E-02
     chi_2_1=  0.500000000000000E-01  -.601803152436147E-06  -.241058059872111E-09
     chi_3_1=  0.500000000000000E-01  -.118002203094954E-03  -.587290418747071E-07
     chi_1_2=  0.500000000000000E-01  -.601802964725497E-06  -.241055875748831E-09
     chi_2_2=  0.500000000000000E-01  0.211810196447462E+02  0.248714487974884E-02
     chi_3_2=  0.500000000000000E-01  -.367908218185567E-05  -.165093386226968E-08
     chi_1_3=  0.500000000000000E-01  -.118002171271248E-03  -.587286688930809E-07
     chi_2_3=  0.500000000000000E-01  -.367908213061972E-05  -.165093317393415E-08
     chi_3_3=  0.500000000000000E-01  0.211811539071692E+02  0.248727443676075E-02
     chi_1_1=  0.600000000000000E-01  0.211814340492961E+02  0.298490460525212E-02
     chi_2_1=  0.600000000000000E-01  -.601842067775417E-06  -.289328660270288E-09
     chi_3_1=  0.600000000000000E-01  -.118011683930463E-03  -.704893416727475E-07
     chi_1_2=  0.600000000000000E-01  -.601841879717351E-06  -.289326033987640E-09
     chi_2_2=  0.600000000000000E-01  0.211814215186324E+02  0.298484555990542E-02
     chi_3_2=  0.600000000000000E-01  -.367934876549021E-05  -.198146466169939E-08
     chi_1_3=  0.600000000000000E-01  -.118011652047439E-03  -.704888931765829E-07
     chi_2_3=  0.600000000000000E-01  -.367934871414505E-05  -.198146383376436E-08
     chi_3_3=  0.600000000000000E-01  0.211815558019702E+02  0.298500106033228E-02
     chi_1_1=  0.700000000000000E-01  0.211819090476222E+02  0.348276343244007E-02
     chi_2_1=  0.700000000000000E-01  -.601888068824281E-06  -.337631471016454E-09
